timestamp,src_ip,dst_ip,src_port,dst_port,protocol,packets,bytes,duration
1704067200,203.0.113.42,192.168.1.10,54321,443,TCP,45,89234,1.2
1704067215,203.0.113.42,192.168.1.10,54322,443,TCP,67,134560,2.1
1704067230,203.0.113.42,192.168.1.10,54323,80,TCP,12,24510,0.4
1704067245,203.0.113.42,192.168.1.10,54324,22,TCP,8,1240,0.2
1704067260,203.0.113.42,192.168.1.10,54325,443,TCP,89,178920,3.1
1704067275,192.168.1.10,192.168.1.100,49123,445,TCP,23,46020,0.8
1704067290,192.168.1.10,192.168.1.100,49124,445,TCP,45,90100,1.5
1704067305,192.168.1.10,192.168.1.100,49125,445,TCP,67,134000,2.2
1704067320,192.168.1.1,192.168.1.100,80,80,TCP,1234,2468000,45.0
1704067335,192.168.1.1,192.168.1.55,8883,8883,UDP,56,11200,2.0
1704067350,203.0.113.42,192.168.1.10,54326,443,TCP,102,204000,3.4
1704067365,203.0.113.42,192.168.1.10,54327,443,TCP,89,178000,3.0
1704067380,192.168.1.10,192.168.1.100,49126,445,TCP,78,156000,2.6
1704067395,192.168.1.100,192.168.1.200,50001,5432,TCP,34,68000,1.1
1704067410,192.168.1.100,192.168.1.200,50002,5432,TCP,56,112000,1.9
1704067425,203.0.113.42,192.168.1.10,54328,4444,TCP,120,240000,4.0
1704067440,192.168.1.10,192.168.1.100,49127,445,TCP,145,290000,4.8
1704067455,192.168.1.10,192.168.1.100,49128,3389,TCP,67,134000,2.2
1704067470,192.168.1.100,192.168.1.200,50003,5432,TCP,89,178000,2.9
1704067485,192.168.1.100,192.168.1.200,50004,5432,TCP,112,224000,3.7
